,,,,temperature,temperature,pressure,pressure,humidity,humidity
,,,,tmax,tmin,pmin,pmax,hmin,hmax
id,year,month,day,,,,,,
MX17004,2010,1,30,27.8,14.5,759.1811832623614,1280.36720223033,0.29045686157134143,0.92296982047066
MX17004,2010,2,2,27.3,14.4,790.6986451247126,1205.2721974948333,0.22814535540666073,0.5264197892046836
MX17004,2010,2,3,24.1,14.4,734.8526244356148,1310.7761143717569,0.1606495673599798,0.5612706766680255
MX17004,2010,2,11,29.7,13.4,754.4161241973744,1256.7719340739693,0.10452342444750624,0.6135154179867122
MX17004,2010,2,23,29.9,10.7,722.9374418738529,1241.7328500480905,0.2882565490328993,0.8894153183266962
MX17004,2010,3,5,32.1,14.2,729.7082705229935,1231.7043822722974,0.1650044499051292,0.7437141688509263
MX17004,2010,3,10,34.5,16.8,790.3591123435219,1358.1342819053984,0.14682079984816274,0.7231556366971092
MX17004,2010,3,16,31.1,17.6,702.719225031344,1340.00371702663,0.24326392586505455,0.55166518565482
MX17004,2010,4,27,36.3,16.7,794.906063613779,1345.573161505362,0.21106787243253372,0.8128839825212164
MX17004,2010,5,27,33.2,18.2,752.3409616886825,1294.1517151734972,0.21297256104985463,0.9819226517670686
MX17004,2010,6,17,28.0,17.5,725.1137321980742,1364.9442392212095,0.10194803252053744,0.5225505503559966
MX17004,2010,6,29,30.1,18.0,722.7063482700844,1336.1834552325777,0.29224142093257327,0.6849692457584117
MX17004,2010,7,3,28.6,17.5,777.8048527355697,1260.0399045202985,0.1168594266438477,0.6896126049516087
MX17004,2010,7,14,29.9,16.5,739.035932335116,1239.9765347803552,0.2745924054040366,0.5185882712090228
MX17004,2010,8,5,29.6,15.8,772.8328301588441,1365.680524663925,0.17215108917999514,0.5918785530842641
MX17004,2010,8,8,29.0,17.3,790.2172276523291,1239.6005513358118,0.13067561813043854,0.6971986553844052
MX17004,2010,8,13,29.8,16.5,729.1340492097781,1310.0696625781409,0.21708661640844534,0.9017419324897008
MX17004,2010,8,23,26.4,15.0,737.8676001931019,1308.6822444280115,0.141858550151685,0.8791422652710846
MX17004,2010,8,25,29.7,15.6,706.3519890353257,1206.8405950279764,0.12560646040611506,0.8546842597721127
MX17004,2010,8,29,28.0,15.3,766.8203909250211,1225.402442693096,0.1315645486087936,0.8448633494254716
MX17004,2010,8,31,25.4,15.4,739.5731375101494,1348.2148612291344,0.20274030103588497,0.6191720053047071
MX17004,2010,10,5,27.0,14.0,787.0248067620159,1292.662881051805,0.11874195808028086,0.6927600556410128
MX17004,2010,10,7,28.1,12.9,725.9694261887817,1352.9157049137207,0.2543206200390419,0.735543433642549
MX17004,2010,10,14,29.5,13.0,732.3958115646722,1236.976639227373,0.18280352363224137,0.8734766921268392
MX17004,2010,10,15,28.7,10.5,723.3804753232229,1345.2581711074454,0.28544348810102216,0.8353979599323407
MX17004,2010,10,28,31.2,15.0,756.3491960678161,1246.3532809182466,0.13658631734192483,0.7850797088553132
MX17004,2010,11,2,31.3,16.3,739.6925379880269,1299.5771869559017,0.16887607193844867,0.9878599303634074
MX17004,2010,11,4,27.2,12.0,707.1914033425656,1236.187611944135,0.13815892443497993,0.8826142040309628
MX17004,2010,11,5,26.3,7.9,756.7082439319296,1306.1607396727175,0.2882815001379734,0.6546246471046675
MX17004,2010,11,26,28.1,12.1,746.4065647064699,1382.6832407322204,0.13491885277600696,0.767664960814872
MX17004,2010,11,27,27.7,14.2,786.2109914474103,1288.9390747200248,0.23757554872371325,0.6079824653196513
MX17004,2010,12,1,29.9,13.8,789.2821180755351,1364.550687733726,0.1856928620649872,0.6852031943011789
MX17004,2010,12,6,27.8,10.5,732.2567169753033,1311.777074120349,0.22055090725327461,0.7042099564900255
